Application,Time,TotalPackets
0,10,2000
0,20,0
0,30,0
0,40,0
0,50,0
0,60,0
0,70,0
0,80,0
0,90,0
0,100,0
0,110,0
0,120,0
0,130,0
0,140,0
0,150,0
0,160,0
0,170,0
0,180,0
0,190,0
0,200,0
0,210,3996480
0,220,3569320
0,230,2032992
0,240,2609296
0,250,2172000
0,260,2924960
0,270,1459584
0,280,3935664
0,290,4807360
0,300,4949264
0,310,5965760
0,320,3398456
0,330,3537464
0,340,3818376
0,350,4002272
0,360,3957384
0,370,4057296
0,380,3980552
0,390,4048608
0,400,4044264
0,410,3968968
0,420,5311264
0,430,4203544
0,440,3411488
0,450,3631584
0,460,7966896
0,470,6611568
0,480,9036968
0,490,5078368
0,500,2482000
0,510,2051472
0,520,2066296
0,530,2733824
0,540,3165408
0,550,2484000
0,560,2531000
0,570,2479000
0,580,2486000
0,590,2526000
0,600,2483000
0,610,2532000
0,620,2478000
0,630,2485000
0,640,1703296
0,650,2373272
0,660,3449432
0,670,2483000
0,680,2149624
0,690,2487664
0,700,2909712
0,710,2470000
0,720,2483000
0,730,1876536
0,740,2187928
0,750,3464536
0,760,2481000
0,770,2539000
0,780,2472000
0,790,2484000
0,800,2530000
0,810,2480000
0,820,2395784
0,830,1737600
0,840,2489112
0,850,3387504
0,860,2484000
0,870,2508000
0,880,2537000
0,890,2473000
0,900,2484000
0,910,2530000
0,920,2480000
0,930,2516000
0,940,2482000
0,950,2289808
0,960,2717192
0,970,2485000
0,980,2526000
0,990,2483000
0,1000,1994424

1,10,2000
1,20,0
1,30,0
1,40,0
1,50,0
1,60,0
1,70,0
1,80,0
1,90,0
1,100,0
1,110,0
1,120,0
1,130,0
1,140,0
1,150,0
1,160,0
1,170,0
1,180,0
1,190,0
1,200,0
1,210,4016752
1,220,3559184
1,230,2034440
1,240,2739616
1,250,7248688
1,260,6001960
1,270,6620256
1,280,4564096
1,290,3714120
1,300,3231936
1,310,1114960
1,320,5424208
1,330,4992704
1,340,4501832
1,350,4087704
1,360,4054400
1,370,4023992
1,380,4055848
1,390,3953040
1,400,4008064
1,410,4035576
1,420,1489992
1,430,3802448
1,440,5250448
1,450,4900032
1,460,2090912
1,470,2752648
1,480,1527640
1,490,3508504
1,500,4772608
1,510,3606968
1,520,2137248
1,530,2825048
1,540,4170240
1,550,4622016
1,560,4649528
1,570,4763920
1,580,4726272
1,590,4824736
1,600,4755232
1,610,4710344
1,620,4795776
1,630,4779848
1,640,2160416
1,650,2387752
1,660,5424208
1,670,6358168
1,680,4222368
1,690,2668664
1,700,3092928
1,710,4590160
1,720,4682832
1,730,2836632
1,740,2280600
1,750,4207888
1,760,6507312
1,770,5933904
1,780,4910168
1,790,4837768
1,800,4787088
1,810,4768264
1,820,4577128
1,830,1841856
1,840,2478976
1,850,6206128
1,860,6307488
1,870,7532496
1,880,7403624
1,890,5111440
1,900,5024560
1,910,4843560
1,920,4765368
1,930,4442464
1,940,1708640
1,950,3837200
1,960,6320520
1,970,5913632
1,980,4947816
1,990,4872520
1,1000,6598536

2,10,2000
2,20,0
2,30,0
2,40,0
2,50,0
2,60,0
2,70,0
2,80,0
2,90,0
2,100,0
2,110,0
2,120,0
2,130,0
2,140,0
2,150,0
2,160,0
2,170,0
2,180,0
2,190,0
2,200,0
2,210,4031232
2,220,4927544
2,230,7988616
2,240,6708584
2,250,2635360
2,260,3130576
2,270,3976208
2,280,3556288
2,290,3536016
2,300,3874848
2,310,4976776
2,320,3233384
2,330,3525880
2,340,3737288
2,350,3966072
2,360,4045712
2,370,3974760
2,380,4019648
2,390,4055848
2,400,4003720
2,410,4052952
2,420,5254792
2,430,4050056
2,440,3395560
2,450,3524432
2,460,1999688
2,470,2691832
2,480,1491440
2,490,3446240
2,500,4761024
2,510,6371200
2,520,7852504
2,530,6498624
2,540,4701656
2,550,4910168
2,560,4836320
2,570,4774056
2,580,4803016
2,590,4666904
2,600,4778400
2,610,4772608
2,620,4742200
2,630,4750888
2,640,8186992
2,650,7295024
2,660,3166776
2,670,3174016
2,680,5661680
2,690,6899720
2,700,6052640
2,710,4955056
2,720,4850800
2,730,7325432
2,740,7588968
2,750,4377304
2,760,3027768
2,770,3541808
2,780,4633600
2,790,4694416
2,800,4703104
2,810,4766816
2,820,5046280
2,830,8476592
2,840,7087960
2,850,2438432
2,860,3223248
2,870,1976520
2,880,2074984
2,890,4432328
2,900,4507624
2,910,4646632
2,920,4769712
2,930,5056416
2,940,7824992
2,950,5900600
2,960,3017632
2,970,3617104
2,980,4540928
2,990,4659664
2,1000,3439000

